start
343607,48.50,324.406,329.266,412.750,427.438,308.703,371.062,535.312,658.375,48.71,49.12,49.08,96.11,3.46,3.41,3.42,0.75,1234, 76.11%
353667,48.75,322.562,333.531,408.031,423.828,305.203,363.938,529.000,652.719,47.85,48.24,49.78,96.41,3.59,3.53,3.33,0.74,1234, 76.11%
363681,49.00,316.453,326.250,411.562,420.562,301.938,362.844,526.156,650.344,48.79,49.73,49.96,95.54,3.47,3.33,3.30,0.76,1234, 76.09%
373688,49.25,315.156,322.188,404.969,417.109,298.578,358.406,520.750,644.406,49.26,49.18,49.02,95.83,3.40,3.41,3.43,0.75,1234, 76.09%
383697,49.50,311.891,317.891,401.797,410.594,294.156,350.922,514.281,637.688,48.93,50.20,50.22,96.10,3.45,3.28,3.27,0.75,1234, 76.07%
393707,49.75,309.578,314.734,394.188,407.297,293.828,348.828,509.094,638.094,50.69,49.31,50.76,96.34,3.22,3.39,3.21,0.74,1234, 76.07%
403716,50.00,304.297,316.766,391.500,402.125,287.125,342.391,505.094,630.469,49.55,49.30,50.61,96.20,3.37,3.39,3.22,0.74,1234, 76.05%
413773,50.25,302.141,307.750,387.016,395.359,284.266,335.266,500.438,624.625,50.09,50.03,50.18,96.35,3.29,3.30,3.28,0.74,1234, 76.05%
423790,50.50,298.797,304.594,384.469,393.078,282.203,331.812,499.969,624.188,49.89,51.16,51.05,96.21,3.32,3.16,3.17,0.74,1234, 76.03%
433851,50.75,297.859,304.328,379.703,389.141,278.969,327.172,493.062,616.375,51.25,50.72,51.72,96.27,3.15,3.22,3.09,0.74,1234, 76.03%
443877,51.00,296.109,300.641,375.172,385.750,273.453,323.234,486.781,608.906,50.26,51.63,52.15,96.25,3.27,3.10,3.04,0.74,1234, 76.02%
453886,51.25,292.188,298.484,376.156,378.344,269.031,318.578,484.656,607.094,51.16,51.07,51.01,96.32,3.16,3.17,3.18,0.74,1234, 76.00%
463887,51.50,289.891,293.266,372.578,374.344,266.297,313.188,477.812,602.938,51.81,52.27,52.06,96.18,3.09,3.03,3.06,0.74,1234, 76.00%
473895,51.75,285.625,291.031,365.766,368.953,261.344,309.484,473.250,592.688,50.82,52.51,52.39,96.01,3.21,3.01,3.02,0.75,1234, 75.98%
483951,52.00,282.031,283.422,362.000,366.562,258.094,304.453,466.781,592.469,53.36,52.11,53.51,96.31,2.91,3.06,2.89,0.74,1234, 75.98%
493966,52.25,277.781,286.406,359.406,360.328,255.906,296.469,463.438,585.219,52.18,52.19,51.97,96.14,3.05,3.05,3.07,0.75,1234, 75.96%
503971,52.50,275.078,277.203,352.016,354.344,250.703,295.625,460.219,583.312,52.93,53.13,52.84,95.86,2.96,2.94,2.97,0.75,1234, 75.96%
