start
531012,40.20,7003.00,7810.00,8215.00,6885.00,95.00,7300.00,8798.00,8586.00,40.99,41.17,40.63,84.41,5.13,5.05,5.59,1.08,6.97
541014,40.40,6920.00,7725.00,8148.00,6762.00,74.00,7302.00,8737.00,8572.00,41.01,41.03,41.46,84.88,5.12,5.09,5.01,1.07,6.95
551016,40.60,6914.00,7645.00,8193.00,6816.00,81.00,7261.00,8726.00,8542.00,41.30,40.67,41.24,85.29,5.06,5.16,3.38,1.05,6.92
561013,40.80,6889.00,7618.00,8212.00,6828.00,108.00,7256.00,8747.00,8591.00,38.98,41.39,41.64,85.41,5.17,5.02,5.00,1.05,6.90
571015,41.00,6842.00,7580.00,8218.00,6850.00,130.00,7295.00,8767.00,8531.00,41.01,41.01,41.66,85.88,5.11,5.10,4.96,1.04,6.83
581016,41.20,6896.00,7596.00,8242.00,6886.00,143.00,7313.00,8791.00,8529.00,41.70,41.77,41.26,86.19,4.97,4.92,5.36,1.02,6.80
591017,41.40,6851.00,7509.00,8217.00,6873.00,142.00,7275.00,8789.00,8424.00,42.23,42.13,41.93,86.25,4.87,4.87,4.89,1.02,6.78
601020,41.60,6908.00,7447.00,8233.00,6851.00,101.00,7281.00,8726.00,8400.00,42.17,42.26,41.57,86.61,4.88,4.85,4.98,1.01,6.75
611020,41.80,6886.00,7420.00,8219.00,6856.00,146.00,7255.00,8785.00,8362.00,42.02,41.79,41.99,87.24,4.88,4.92,6.03,1.00,6.70
621019,42.00,6895.00,7369.00,8240.00,6841.00,151.00,7266.00,8750.00,8330.00,42.26,42.12,42.28,87.24,4.87,4.88,4.87,0.99,6.69
631019,42.20,6869.00,7310.00,8256.00,6837.00,158.00,7218.00,8689.00,8257.00,42.76,42.87,42.59,87.49,4.75,4.83,4.80,0.99,6.66
641024,42.40,6881.00,7249.00,8189.00,6806.00,76.00,7196.00,8621.00,8214.00,42.80,43.00,42.43,87.62,4.74,4.71,4.85,0.97,6.62
651022,42.60,6869.00,7211.00,8221.00,6805.00,116.00,7182.00,8626.00,8131.00,43.10,42.87,42.74,87.93,4.70,4.74,4.76,0.96,6.59
661026,42.80,6869.00,7147.00,8186.00,6791.00,119.00,7183.00,8612.00,8081.00,43.15,43.06,43.53,88.19,4.69,4.70,4.62,0.96,6.56
671027,43.00,6869.00,7050.00,8155.00,6777.00,55.00,7138.00,8612.00,8041.00,42.63,43.04,42.71,88.58,4.68,4.70,4.77,0.95,6.52
681029,43.20,6824.00,6957.00,8152.00,6793.00,73.00,7180.00,8561.00,7970.00,43.68,43.70,44.31,88.58,4.59,4.57,4.46,0.94,6.51
691029,43.40,6810.00,6889.00,8173.00,6749.00,83.00,7095.00,8515.00,7921.00,43.74,43.61,43.97,88.98,4.59,4.59,4.53,0.93,6.47
701031,43.60,6831.00,6840.00,8140.00,6773.00,99.00,7093.00,8548.00,7915.00,44.19,43.76,43.66,89.31,4.50,4.57,4.59,0.93,6.44
711031,43.80,6817.00,6884.00,8194.00,6794.00,95.00,7149.00,8559.00,7836.00,43.93,43.83,43.70,89.38,4.54,4.56,4.59,0.92,6.40
